p_comments_count,p_caption,p_ig_id,p_is_comment_enabled,p_like_count,p_media_type,p_owner,p_shortcode,p_timestamp,p_username,p_views_count,p_location,p_location_id,c_username,c_timestamp,c_text,c_like_count,c_id,c_parent_id
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,_w_u_l_f_,2020-06-20 05:19:48,Ok,2.0,18135215479074531,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,vatsalmehta10,2020-06-20 05:27:26,Do your fkn job twitter,2.0,17892821500536460,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,bardock_unbound,2020-06-20 05:57:19,Who said it wasn't??,2.0,17888938024574931,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,heyitskhalen,2020-06-20 06:43:17,the racist yt people in these comments chile..,,18122957227110032,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,shico.shuten,2020-06-20 07:25:07,"Тупой вонючий Twitter, уже и в Инстаграме. Гнильё своё пустил, как заебали эти янки. Как гниды на здоровом теле, пытаются всё в жопу укусить. Не зря Задорнов говорил, какие же они, тупые эти бля американцы.",3.0,17858825314991920,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,shanobie_,2020-06-20 07:33:27,Twitter clearly is black supremacist 🤡🌎,12.0,17850303746135252,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,cuttietoychica,2020-06-20 07:43:35,Since when did I start following twitter?,3.0,17888999743574641,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,chxrlie.66,2020-06-20 08:37:52,We get the point,5.0,17871238291757025,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,_galanovaa_,2020-06-20 09:21:33,ALM*,8.0,17862877276906822,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,i.n.t.o.k,2020-06-26 02:56:26,@_galanovaa_ remove yourself,,18093041023169447,1.7862877276906822e+16
